% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC, 200 MHz, 1 MOhm, 1 Vpp, 1 x probe attenuation
% Channel B (Input 2, on), DC, 200 MHz, 1 MOhm, 1 Vpp, 1 x probe attenuation
% Time span 13.02 s, time offset 76.84 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2026-08-12 T 11:57:16 +1000
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V), Math (Ch A + Ch B) (V)
-4.423089392000e+00, 9.563333e-02, 1.186667e-01, 2.143000e-01
-4.410345360000e+00, 9.470000e-02, 1.178667e-01, 2.125667e-01
-4.397601328000e+00, 9.496667e-02, 1.177333e-01, 2.127000e-01
-4.384857296000e+00, 9.376667e-02, 1.198667e-01, 2.136333e-01
-4.372113264000e+00, 9.721667e-02, 1.160000e-01, 2.132167e-01
-4.359369232000e+00, 9.935000e-02, 1.144000e-01, 2.137500e-01
-4.346625200000e+00, 1.032000e-01, 1.114500e-01, 2.146500e-01
-4.333881168000e+00, 1.086667e-01, 1.065167e-01, 2.151833e-01
-4.321137136000e+00, 1.084000e-01, 1.063667e-01, 2.147667e-01
-4.308393104000e+00, 1.110500e-01, 1.049000e-01, 2.159500e-01
-4.295649072000e+00, 1.139667e-01, 1.027667e-01, 2.167333e-01
-4.282905040000e+00, 1.170333e-01, 1.003500e-01, 2.173833e-01
-4.270161008000e+00, 1.195500e-01, 9.648333e-02, 2.160333e-01
-4.257416976000e+00, 1.234167e-01, 9.475000e-02, 2.181667e-01
-4.244672944000e+00, 1.274000e-01, 9.006667e-02, 2.174667e-01
-4.231928912000e+00, 1.287333e-01, 8.846667e-02, 2.172000e-01
-4.219184880000e+00, 1.275333e-01, 8.953333e-02, 2.170667e-01
-4.206440848000e+00, 1.228833e-01, 9.448333e-02, 2.173667e-01
-4.193696816000e+00, 1.191500e-01, 9.728333e-02, 2.164333e-01
-4.180952784000e+00, 1.149000e-01, 1.012833e-01, 2.161833e-01
-4.168208752000e+00, 1.139667e-01, 1.025000e-01, 2.164667e-01
-4.155464720000e+00, 1.102500e-01, 1.049000e-01, 2.151500e-01
-4.142720688000e+00, 1.080000e-01, 1.057000e-01, 2.137000e-01
-4.129976656000e+00, 1.024167e-01, 1.117167e-01, 2.141333e-01
-4.117232624000e+00, 1.041333e-01, 1.105167e-01, 2.146500e-01
-4.104488592000e+00, 9.921667e-02, 1.144000e-01, 2.136167e-01
-4.091744560000e+00, 9.523333e-02, 1.190667e-01, 2.143000e-01
-4.079000528000e+00, 9.376667e-02, 1.206667e-01, 2.144333e-01
-4.066256496000e+00, 9.136667e-02, 1.225500e-01, 2.139167e-01
-4.053512464000e+00, 9.003333e-02, 1.229500e-01, 2.129833e-01
-4.040768432000e+00, 9.403333e-02, 1.192000e-01, 2.132333e-01
-4.028024400000e+00, 9.363333e-02, 1.194667e-01, 2.131000e-01
-4.015280368000e+00, 9.601667e-02, 1.173333e-01, 2.133500e-01
-4.002536336000e+00, 9.815000e-02, 1.156000e-01, 2.137500e-01
-3.989792304000e+00, 9.603333e-02, 1.174667e-01, 2.135000e-01
-3.977048272000e+00, 9.868333e-02, 1.154667e-01, 2.141500e-01
-3.964304240000e+00, 9.975000e-02, 1.138667e-01, 2.136167e-01
-3.951560208000e+00, 1.013500e-01, 1.118500e-01, 2.132000e-01
-3.938816176000e+00, 1.038667e-01, 1.099833e-01, 2.138500e-01
-3.926072144000e+00, 1.041333e-01, 1.098500e-01, 2.139833e-01
-3.913328112000e+00, 1.032000e-01, 1.102500e-01, 2.134500e-01
-3.900584080000e+00, 1.042667e-01, 1.097167e-01, 2.139833e-01
-3.887840048000e+00, 1.040000e-01, 1.101167e-01, 2.141167e-01
-3.875096016000e+00, 1.033333e-01, 1.117167e-01, 2.150500e-01
-3.862351984000e+00, 1.022833e-01, 1.113167e-01, 2.136000e-01
-3.849607952000e+00, 1.026667e-01, 1.110500e-01, 2.137167e-01
-3.836863920000e+00, 1.005500e-01, 1.138500e-01, 2.144000e-01
-3.824119888000e+00, 1.016167e-01, 1.123833e-01, 2.140000e-01
-3.811375856000e+00, 1.013500e-01, 1.122500e-01, 2.136000e-01
-3.798631824000e+00, 1.008167e-01, 1.137167e-01, 2.145333e-01
-3.785887792000e+00, 9.988333e-02, 1.145333e-01, 2.144167e-01
-3.773143760000e+00, 9.788333e-02, 1.154667e-01, 2.133500e-01
-3.760399728000e+00, 9.735000e-02, 1.158667e-01, 2.132167e-01
-3.747655696000e+00, 9.708333e-02, 1.164000e-01, 2.134833e-01
-3.734911664000e+00, 9.588333e-02, 1.173333e-01, 2.132167e-01
-3.722167632000e+00, 9.668333e-02, 1.161333e-01, 2.128167e-01
-3.709423600000e+00, 9.841667e-02, 1.150667e-01, 2.134833e-01
-3.696679568000e+00, 9.801667e-02, 1.153333e-01, 2.133500e-01
-3.683935536000e+00, 9.855000e-02, 1.141333e-01, 2.126833e-01
-3.671191504000e+00, 9.855000e-02, 1.142667e-01, 2.128167e-01
-3.658447472000e+00, 9.615000e-02, 1.170667e-01, 2.132167e-01
-3.645703440000e+00, 9.668333e-02, 1.162667e-01, 2.129500e-01
-3.632959408000e+00, 9.641667e-02, 1.165333e-01, 2.129500e-01
-3.620215376000e+00, 9.668333e-02, 1.165333e-01, 2.132167e-01
-3.607471344000e+00, 9.788333e-02, 1.152000e-01, 2.130833e-01
-3.594727312000e+00, 9.590000e-02, 1.173333e-01, 2.132333e-01
-3.581983280000e+00, 9.523333e-02, 1.176000e-01, 2.128333e-01
-3.569239248000e+00, 9.536667e-02, 1.181333e-01, 2.135000e-01
-3.556495216000e+00, 9.483333e-02, 1.185333e-01, 2.133667e-01
-3.543751184000e+00, 9.496667e-02, 1.181333e-01, 2.131000e-01
-3.531007152000e+00, 9.576667e-02, 1.181333e-01, 2.139000e-01
-3.518263120000e+00, 9.550000e-02, 1.180000e-01, 2.135000e-01
-3.505519088000e+00, 9.735000e-02, 1.161333e-01, 2.134833e-01
-3.492775056000e+00, 9.786667e-02, 1.162667e-01, 2.141333e-01
-3.480031024000e+00, 9.840000e-02, 1.149333e-01, 2.133333e-01
-3.467286992000e+00, 9.775000e-02, 1.162667e-01, 2.140167e-01
-3.454542960000e+00, 9.826667e-02, 1.157333e-01, 2.140000e-01
-3.441798928000e+00, 9.880000e-02, 1.146667e-01, 2.134667e-01
-3.429054896000e+00, 9.986667e-02, 1.141333e-01, 2.140000e-01
-3.416310864000e+00, 1.018667e-01, 1.124000e-01, 2.142667e-01
-3.403566832000e+00, 1.020000e-01, 1.120000e-01, 2.140000e-01
-3.390822800000e+00, 1.006667e-01, 1.124000e-01, 2.130667e-01
-3.378078768000e+00, 1.032000e-01, 1.116000e-01, 2.148000e-01
-3.365334736000e+00, 1.022667e-01, 1.122667e-01, 2.145333e-01
-3.352590704000e+00, 1.014667e-01, 1.124000e-01, 2.138667e-01
-3.339846672000e+00, 1.024000e-01, 1.118500e-01, 2.142500e-01
-3.327102640000e+00, 1.012000e-01, 1.129167e-01, 2.141167e-01
-3.314358608000e+00, 1.037333e-01, 1.099833e-01, 2.137167e-01
-3.301614576000e+00, 1.036000e-01, 1.105167e-01, 2.141167e-01
-3.288870544000e+00, 1.049333e-01, 1.085167e-01, 2.134500e-01
-3.276126512000e+00, 1.061333e-01, 1.081000e-01, 2.142333e-01
-3.263382480000e+00, 1.043833e-01, 1.089167e-01, 2.133000e-01
-3.250638448000e+00, 1.071833e-01, 1.061167e-01, 2.133000e-01
-3.237894416000e+00, 1.067833e-01, 1.067833e-01, 2.135667e-01
-3.225150384000e+00, 1.079833e-01, 1.055833e-01, 2.135667e-01
-3.212406352000e+00, 1.106500e-01, 1.046500e-01, 2.153000e-01
-3.199662320000e+00, 1.119833e-01, 1.022167e-01, 2.142000e-01
-3.186918288000e+00, 1.111833e-01, 1.021000e-01, 2.132833e-01
-3.174174256000e+00, 1.143667e-01, 9.981667e-02, 2.141833e-01
-3.161430224000e+00, 1.157000e-01, 9.821667e-02, 2.139167e-01
-3.148686192000e+00, 1.161000e-01, 9.821667e-02, 2.143167e-01
-3.135942160000e+00, 1.171667e-01, 9.701667e-02, 2.141833e-01
-3.123198128000e+00, 1.188833e-01, 9.581667e-02, 2.147000e-01
-3.110454096000e+00, 1.182167e-01, 9.635000e-02, 2.145667e-01
-3.097710064000e+00, 1.204833e-01, 9.421667e-02, 2.147000e-01
-3.084966032000e+00, 1.207500e-01, 9.301667e-02, 2.137667e-01
-3.072222000000e+00, 1.200833e-01, 9.421667e-02, 2.143000e-01
-3.059477968000e+00, 1.236833e-01, 9.046667e-02, 2.141500e-01
-3.046733936000e+00, 1.232833e-01, 9.141667e-02, 2.147000e-01
-3.033989904000e+00, 1.254167e-01, 8.966667e-02, 2.150833e-01
-3.021245872000e+00, 1.248833e-01, 9.033333e-02, 2.152167e-01
-3.008501840000e+00, 1.276667e-01, 8.766667e-02, 2.153333e-01
-2.995757808000e+00, 1.288667e-01, 8.671667e-02, 2.155833e-01
-2.983013776000e+00, 1.294000e-01, 8.566667e-02, 2.150667e-01
-2.970269744000e+00, 1.296667e-01, 8.551667e-02, 2.151833e-01
-2.957525712000e+00, 1.319167e-01, 8.351667e-02, 2.154333e-01
-2.944781680000e+00, 1.321833e-01, 8.325000e-02, 2.154333e-01
