% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC, 200 MHz, 1 MOhm, 1 Vpp, 1 x probe attenuation
% Channel B (Input 2, on), DC, 200 MHz, 1 MOhm, 1 Vpp, 1 x probe attenuation
% Time span 10.95 s, time offset -506.7 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2026-08-12 T 12:10:30 +1000
% no guitar
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V), Math (Ch A + Ch B) (V)
-3.536480640000e+00, 1.359333e-01, 6.870000e-02, 2.046333e-01
-3.525764032000e+00, 1.354000e-01, 6.923333e-02, 2.046333e-01
-3.515047424000e+00, 1.338000e-01, 7.056667e-02, 2.043667e-01
-3.504330816000e+00, 1.311333e-01, 7.296667e-02, 2.041000e-01
-3.493614208000e+00, 1.284833e-01, 7.590000e-02, 2.043833e-01
-3.482897600000e+00, 1.270167e-01, 7.765000e-02, 2.046667e-01
-3.472180992000e+00, 1.252833e-01, 7.885000e-02, 2.041333e-01
-3.461464384000e+00, 1.223500e-01, 8.165000e-02, 2.040000e-01
-3.450747776000e+00, 1.170333e-01, 8.673333e-02, 2.037667e-01
-3.440031168000e+00, 1.134500e-01, 9.006667e-02, 2.035167e-01
-3.429314560000e+00, 1.098500e-01, 9.301667e-02, 2.028667e-01
-3.418597952000e+00, 1.068000e-01, 9.635000e-02, 2.031500e-01
-3.407881344000e+00, 1.044000e-01, 9.823333e-02, 2.026333e-01
-3.397164736000e+00, 1.014833e-01, 1.010333e-01, 2.025167e-01
-3.386448128000e+00, 9.801667e-02, 1.045000e-01, 2.025167e-01
-3.375731520000e+00, 9.603333e-02, 1.065167e-01, 2.025500e-01
-3.365014912000e+00, 9.310000e-02, 1.091833e-01, 2.022833e-01
-3.354298304000e+00, 8.831667e-02, 1.130667e-01, 2.013833e-01
-3.343581696000e+00, 8.471667e-02, 1.168000e-01, 2.015167e-01
-3.332865088000e+00, 8.193333e-02, 1.197333e-01, 2.016667e-01
-3.322148480000e+00, 8.006667e-02, 1.210833e-01, 2.011500e-01
-3.311431872000e+00, 7.873333e-02, 1.230833e-01, 2.018167e-01
-3.300715264000e+00, 7.526667e-02, 1.253667e-01, 2.006333e-01
-3.289998656000e+00, 7.486667e-02, 1.260333e-01, 2.009000e-01
-3.279282048000e+00, 7.301667e-02, 1.283000e-01, 2.013167e-01
-3.268565440000e+00, 7.181667e-02, 1.289667e-01, 2.007833e-01
-3.257848832000e+00, 7.090000e-02, 1.304333e-01, 2.013333e-01
-3.247132224000e+00, 6.876667e-02, 1.319000e-01, 2.006667e-01
